urun_adi,Fiyat_str,gelis_fiyat_usd,baski_kapasitesi,stok,kendi_depomuz,stok_kodu,yazici_uyumluluk_listesi
"XBox HP CF401A,CF541A & CANON CRG-045,CRG-054,CRG-067 Universal Cyan (1.4K)",4.50 USD 181.46 TL,4.50,1400,100,50,16870,"HP CF401A (201A): M252, M274, M277; HP CF541A (203A): M254, M280, M281; CANON 045C: LBP610, LBP611, LBP612, LBP613, MF631, MF632, MF633, MF634, MF635, MF636; CANON 054C: MF621, MF623, MF641, MF642, MF643, MF645; CANON 067C: LBP631, LBP633, MF651, MF655, MF657"
"XBox HP CF400X,CF540X & CANON CRG-045H,CRG-067H Universal Black (3.2K)",5.25 USD 211.70 TL,5.25,3200,100,30,16877,"HP CF400X (201X): M252, M274, M277; HP CF540X (203X): M254, M280, M281; CANON 045HBK: LBP610, LBP611, LBP612, LBP613, MF631, MF632, MF633, MF634, MF635, MF636; CANON 067HBK: LBP631, LBP633, MF651, MF655, MF657"
"XBox HP CF400A,CF540A & CANON CRG-045,CRG-054,CRG-067 Universal Black (1.5K)",4.50 USD 181.46 TL,4.50,1500,100,40,16869,"HP CF400A (201A): M252, M274, M277; HP CF540A (203A): M254, M280, M281; CANON 045BK: LBP610, LBP611, LBP612, LBP613, MF631, MF632, MF633, MF634, MF635, MF636; CANON 054BK: MF621, MF623, MF641, MF642, MF643, MF645; CANON 067BK: LBP631, LBP633, MF651, MF655, MF657"
XBox HP CF363A (508A) & CANON CRG-040M Magenta (5.4K),12.75 USD 513.74 TL,12.75,5400,0,0,14986,"CANON 040 M: LBP710, LBP712; HP CF363A (508A): M552, M553, M577"
XBox HP CF362A (508A) & CANON CRG-040Y Yellow (5.4K),12.75 USD 513.74 TL,12.75,5400,0,0,14985,"CANON 040 Y: LBP710, LBP712; HP CF362A (508A): M552, M553, M577"
XBox HP CF361A (508A) & CANON CRG-040C Cyan (5.4K),12.75 USD 513.74 TL,12.75,5400,0,0,14984,"CANON 040 C: LBP710, LBP712; HP CF361A (508A): M552, M553, M577"
XBox HP CF360A (508A) & CANON CRG-040K Black (6.3K),12.75 USD 513.74 TL,12.75,6300,10,3,14983,"CANON 040 BK: LBP710, LBP712; HP CF360A (508A): M552, M553, M577"
XBox HP CF289Y & CANON T06 & CRG-056H Chipsiz (20K),12.88 USD 519.10 TL,12.88,20000,100,3,12818,"HP CF289Y (89Y): M507,M528, E50145, E52645; CANON CRG056H: LBP325, MF542, MF543, MF552, MF553; CANON T06: 1643"
XBox HP CF289X (89X) & CANON CRG-056 Chipsiz (10K),6.98 USD 281.37 TL,6.98,10000,100,0,12802,"HP CF289X (89X): M507, M528, E50145, E52645; CANON CRG056: LBP325, MF542, MF543, MF552, MF553"
XBox HP CF289A (89A) & CANON CRG-056 Chipsiz (5K),5.55 USD 223.57 TL,5.55,5000,0,0,17080,"HP CF289A (89A): M507, M528, E50145, E52645; CANON CRG056L: LBP325, MF542, MF543, MF552, MF553"
XBox HP CF287X & CANON CRG-041H (20K),8.15 USD 328.46 TL,8.15,20000,100,1,12800,"HP CF287X (87X): M501, M506, M527; CANON CRG041H: LBP312, MF522, MF525"
XBox HP CF287A & CANON CRG-041 (10K),6.21 USD 250.36 TL,6.21,10000,100,5,12799,"HP CF287A (87A): M501, M506, M527; CANON CRG041: LBP312, MF522, MF525"
XBox HP CF283X (83X) & CANON CRG737 (2.4K),3.10 USD 124.80 TL,3.10,2400,100,100,15154,"HP CF283X (83X): M201, M225; CANON CRG737: LBP151, MF211, MF212, MF216, MF217, MF221, MF222, MF224, MF226, MF227, MF229, MF231, MF232, MF236, MF237, MF244, MF247, MF249"
XBox HP CF283A & CANON CRG 737 (1.5K),2.95 USD 119.06 TL,2.95,1500,100,100,14897,"HP CF283A (83A): M125, M126, M127, M201, M225; CANON CRG737: LBP151, MF211, MF212, MF216, MF217, MF221, MF222, MF224, MF226, MF227, MF229, MF231, MF232, MF236, MF237, MF244, MF247, MF249"
XBox HP CF259Y (59Y) & CANON CRG-057Y Chipsiz (18K),13.12 USD 528.67 TL,13.12,18000,7,0,16802,"HP CF259Y (59Y): M404, M428; CANON CRG057Y: LBP223, LBP226, LBP228, MF443, MF445, MF446, MF449"
XBox HP CF259X (59x) & CANON CRG-057H & T08 Chipsiz (10K),6.21 USD 250.36 TL,6.21,10000,100,100,12467,"HP CF259X (59X): M304, M305, M404, M405, M406, M407, M430, MFP M329, MFP M428, MFP M429; CANON CRG057H: LBP223, LBP226, LBP228, LBP233, LBP236, LBP237, MF443, MF445, MF446, MF449, MF451, MF452, MF453, MF455; CANON T08: X1238"
XBox HP CF259A (59A) & CANON CRG-057 Chipsiz (3K),4.65 USD 187.20 TL,4.65,3000,100,30,12466,"HP CF259A (59A): M304, M305, M404, M405, M406, M407, M430, MFP M329, MFP M428, MFP M429; CANON CRG057: LBP223, LBP226, LBP228, LBP233, LBP236, LBP237, MF443, MF445, MF446, MF449, MF451, MF452, MF453, MF455"
XBox HP CF232A & CANON CRG-051 Drum Unit (23K),2.96 USD 119.44 TL,2.96,23000,100,4,13095,"HP CF232A (32A): M203, M206, M227, M230; CANON CRG051: LBP162, MF264, MF267, MF269"
XBox HP CF230X & CANON CRG-051H (4K),3.40 USD 137.05 TL,3.40,4000,100,10,12771,"HP CF230X (30X): M203, M227; CANON CRG051H: LBP162, MF260, MF264, MF267, MF269"
"XBox HP CF230A & CANON CRG-051 (1,7K)",2.68 USD 107.95 TL,2.68,1700,100,10,12769,"HP CF230A (30A): M203, M227; CANON CRG051: LBP162, MF260, MF264, MF267, MF269"
XBox HP CF226X (26X) & CANON CRG-052H (9.2K),5.69 USD 229.31 TL,5.69,9200,100,50,15121,"CANON 052H BK: LBP212, LBP214, LBP215, MF421, MF424, MF426, MF428, MF429; HP CF226X (26X): M402, M426"
XBox HP CF226A (26A) & CANON CRG-052 (3.1K),4.37 USD 176.10 TL,4.37,3100,100,20,11532,"CANON 052 BK: LBP212, LBP214, LBP215, MF421, MF424, MF426, MF428, MF429; HP CF226A (26A): M402, M426"
XBox HP CF219A & CANON CRG-049 Drum Unit (12K),3.18 USD 128.24 TL,3.18,12000,100,30,12574,"HP CF219A (19A): M102, M104, M130, M132; CANON CRG049: LBP110, LBP112, LBP113, MF110, MF112, MF113"
XBox HP CF217A (17A) & CANON CRG-047 (1.6K),2.59 USD 104.51 TL,2.59,1600,100,100,11779,"HP CF217A (17A): M102, M130, M132; CANON 047 BK: LBP110, LBP112, LBP113, MF110"
"XBox HP CE505XL,CF280XL & CRG-719HXL (10K)",8.25 USD 332.29 TL,8.25,10000,100,20,11644,"HP CE505XL: P2050, P2055; HP CF280XL: M401, M425; CANON CRG719HXL: LBP251, LBP252, LBP253, LBP6300, LBP6310, LBP6650, LBP6670, LBP6680, MF411, MF414, MF416, MF418, MF419, MF5840, MF5850, MF5880, MF5940, MF5950, MF5960, MF5980, MF6140, MF6160, MF6180; CANON EXV40: IR1133"
"XBox HP CE505X,CF280X & CANON CRG-719H (6.9K)",4.73 USD 190.64 TL,4.73,6900,100,50,15180,"HP CE505X (05X): P2050, P2055; HP CF280X (80X): M401, M425; CANON CRG719H: LBP251, LBP252, LBP253, LBP6300, LBP6310, LBP6650, LBP6670, LBP6680, MF411, MF414, MF416, MF418, MF419, MF5840, MF5850, MF5880, MF5940, MF5950, MF5960, MF5980, MF6140, MF6160, MF6180; CANON EXV40: IR1133"
"XBox HP CE505A,CF280A & CANON CRG-719 (2.7K)",3.95 USD 159.25 TL,3.95,2700,100,100,15134,"HP CE505A (05A): P2035, P2050, P2055; HP CF280A (80A): M401, M425; CANON CRG719: LBP251, LBP252, LBP253, LBP6300, LBP6310, LBP6650, LBP6670, LBP6680, MF411, MF414, MF416, MF418, MF419, MF5840, MF5850, MF5880, MF5940, MF5950, MF5960, MF5980, MF6140, MF6160, MF6180; CANON EXV40: IR1133"
"XBox HP CE313A,CF353A & CANON CRG-729 Magenta (1K)",2.75 USD 110.63 TL,2.75,1000,100,6,11795,"HP CE313A (126A): CP1025, M175, M275; HP CF353A (130A): M176, M177; CANON CRG729: LBP7010, LBP7018"
"XBox HP CE312A,CF352A & CANON CRG-729 Yellow (1K)",2.75 USD 110.63 TL,2.75,1000,100,8,11794,"HP CE312A (126A): CP1025, M175, M275; HP CF352A (130A): M176, M177; CANON CRG729: LBP7010, LBP7018"
"XBox HP CE311A,CF351A & CANON CRG-729 Cyan (1K)",2.75 USD 110.63 TL,2.75,1000,100,10,11793,"HP CE311A (126A): CP1025, M175, M275; HP CF351A (130A): M176, M177; CANON CRG729: LBP7010, LBP7018"
"XBox HP CE310A,CF350A & CANON CRG-729 Black (1.2K)",2.75 USD 110.63 TL,2.75,1200,100,10,11792,"HP CE310A (126A): CP1025, M175, M275; HP CF350A (130A): M176, M177; CANON CRG729: LBP7010, LBP7018"
"XBox HP CE285A,CB435A,CB436A & CANON CRG-712,713,725 (1.6K)",2.85 USD 114.85 TL,2.85,1600,100,100,15076,"HP CB435A (35A): P1002, P1003, P1004, P1005, P1006, P1009; HP CB436A (36A): P1505, M1120, M1522; HP CE285A (85A): P1102, P1104, P1107, P1109, M1130, M1132, M1134, M1137, M1138, M1139, M1210, M1212, M1213, M1214, M1216, M1217. M1219; CANON CRG712: LBP3010, LBP3050, LBP3100, LBP3150; CANON CRG713: LBP3250; CANON CRG725: LBP6000, LBP6020, LBP6030, MF3010"
"XBox HP CE278A & CRG-726, CRG-728 (2.1K)",2.80 USD 112.93 TL,2.80,2100,100,50,15127,"HP CE278A (78A): M1536, P1566, P1606; CANON CRG726: LBP6200, LBP6230, LBP6240; CANON CRG728: D530, D550, D560, L150, L170, L190, L410, MF4410, MF4412, MF4420, MF4430, MF4450, MF4550, MF4570, MF4580, MF4730, MF4750, MF4770, MF4780, MF4870, MF4890"
XBox HP CE255X (55X) & CANON CRG-724H (12.5K),9.85 USD 396.98 TL,9.85,12500,100,20,11233,"HP CE255X (55X): M521, M525, P3010, P3015, P3016; CANON CRG724H: LBP6700, LBP6750, LBP6780, MF512, MF515"
XBox HP CE255A (55A) & CANON CRG-724 (6K),7.89 USD 318.12 TL,7.89,6000,100,10,15042,"HP CE255A (55A): M521, M525, P3010, P3015, P3016; CANON CRG724: LBP6700, LBP6750, LBP6780, MF512, MF515"
"XBox HP CE253A,CE403A & CANON CRG-723 Magenta (7K)",12.41 USD 499.96 TL,12.41,7000,100,0,12853,"HP CE253A (504A): CP3525, CM3530; HP CE403A (507A): M551, M570, M575; CANON CRG723: LBP5460, LBP7750, MF7750"
"XBox HP CE252A,CE402A & CANON CRG-723 Yellow (7K)",12.41 USD 499.96 TL,12.41,7000,100,1,12852,"HP CE252A (504A): CP3525, CM3530; HP CE402A (507A): M551, M570, M575; CANON CRG723: LBP5460, LBP7750, MF7750"
"XBox HP CE251A,CE401A & CANON CRG-723 Cyan (7K)",12.41 USD 499.96 TL,12.41,7000,100,0,12851,"HP CE251A (504A): CP3525, CM3530; HP CE401A (507A): M551, M570, M575; CANON CRG723: LBP5460, LBP7750, MF7750"
"XBox HP CE250X,CE400X & CANON CRG-723H Black (10.5K)",15.51 USD 625.14 TL,15.51,10500,40,0,11928,"HP CE250X (504X): CP3525, CM3530; HP CE400X (507X): M551, M570, M575; CANON CRG723H: LBP5460, LBP7750, MF7750"
"XBox HP CE250A,CE400A & CANON CRG-723 Black (5K)",12.41 USD 499.96 TL,12.41,5000,100,5,12850,"HP CE250A (504A): CP3525, CM3530; HP CE400A (507A): M551, M570, M575; CANON CRG723: LBP5460, LBP7750, MF7750"
"XBox HP CC533A,CE413A,CF383A & CANON CRG-718 Magenta (2.8K)",5.14 USD 207.10 TL,5.14,2800,30,10,11791,"HP CC533A (304A): CM2320, CP2025; HP CE413A (305A): M351, M375, M451, M475; HP CF383A (312A): M476; CANON CRG718: LBP7200, LBP7210, LBP7660, LBP7680, MF724, MF728, MF729, MF8330, MF8340, MF8350, MF8360, MF8380, MF8540, MF8550, MF8580"
"XBox HP CC532A,CE412A,CF382A & CANON CRG-718 Yellow (2.8K)",5.14 USD 207.10 TL,5.14,2800,30,7,11790,"HP CC532A (304A): CM2320, CP2025; HP CE412A (305A): M351, M375, M451, M475; HP CF382A (312A): M476; CANON CRG718: LBP7200, LBP7210, LBP7660, LBP7680, MF724, MF728, MF729, MF8330, MF8340, MF8350, MF8360, MF8380, MF8540, MF8550, MF8580"
"XBox HP CC531A,CE411A,CF381A & CANON CRG-718 Cyan (2.8K)",5.14 USD 207.10 TL,5.14,2800,50,10,11789,"HP CC531A (304A): CM2320, CP2025; HP CE411A (305A): M351, M375, M451, M475; HP CF381A (312A): M476; CANON CRG718: LBP7200, LBP7210, LBP7660, LBP7680, MF724, MF728, MF729, MF8330, MF8340, MF8350, MF8360, MF8380, MF8540, MF8550, MF8580"
"XBox HP CC530A,CE410A,CF380X & CANON CRG-718 Black (3.5K)",5.14 USD 207.10 TL,5.14,3500,100,20,11788,"HP CC530A (304A): CM2320, CP2025; HP CE410A (305A): M351, M375, M451, M475; HP CF380X (312X): M476; CANON CRG718: LBP7200, LBP7210, LBP7660, LBP7680, MF724, MF728, MF729, MF8330, MF8340, MF8350, MF8360, MF8380, MF8540, MF8550, MF8580"
"XBox HP CB543A,CE323A,CF213A & CANON CRG-716,CRG-731 Magenta (1.4K)",4.86 USD 196.00 TL,4.86,1400,100,50,11636,"HP CB543A (125A): CP1215, CP1217, CP1515, CP1518, CM1312; HP CE323A (128A): CP1525, CM1415; HP CF213A (131A): M251, M276; CANON CRG716: LBP5050, MF8030, MF8040, MF8050, MF8080; CANON CRG731: LBP7100, LBP7110, MF623, MF624, MF628, MF8230, MF8280"
"XBox HP CB542A,CE322A,CF212A & CANON CRG-716,CRG-731 Yellow (1.4K)",4.86 USD 196.00 TL,4.86,1400,100,50,11635,"HP CB542A (125A): CP1215, CP1217, CP1515, CP1518, CM1312; HP CE322A (128A): CP1525, CM1415; HP CF212A (131A): M251, M276; CANON CRG716: LBP5050, MF8030, MF8040, MF8050, MF8080; CANON CRG731: LBP7100, LBP7110, MF623, MF624, MF628, MF8230, MF8280"
"XBox HP CB541A,CE321A,CF211A & CANON CRG-716,CRG-731 Cyan (1.4K)",4.86 USD 196.00 TL,4.86,1400,100,50,11634,"HP CB541A (125A): CP1215, CP1217, CP1515, CP1518, CM1312; HP CE321A (128A): CP1525, CM1415; HP CF211A (131A): M251, M276; CANON CRG716: LBP5050, MF8030, MF8040, MF8050, MF8080; CANON CRG731: LBP7100, LBP7110, MF623, MF624, MF628, MF8230, MF8280"
"XBox HP CB540A,CE320A,CF210X & CANON CRG-716,CRG-731 Black (2.2K)",4.86 USD 196.00 TL,4.86,2200,100,50,11633,"HP CB540A (125A): CP1215, CP1217, CP1515, CP1518, CM1312; HP CE320A (128A): CP1525, CM1415; HP CF210X (131X): M251, M276; CANON CRG716: LBP5050, MF8030, MF8040, MF8050, MF8080; CANON CRG731H: LBP7100, LBP7110, MF623, MF624, MF628, MF8230, MF8280"
HP W2033X (415X) & CANON CRG-055HM Magenta Chipsiz (6K),9.01 USD 363.07 TL,9.01,6000,20,1,11936,"HP W2033X (415X): M455, MFP M454, MFP M479, MFP M480; CANON CRG055H M: LBP662, LBP663, LBP664, MF741, MF742, MF743, MF744, MF745, MF746; CANON T09M: i-SENSYS X-C1127"
HP W2033A (415A) & CANON CRG-055M Magenta Chipsiz (2.1K),6.21 USD 250.24 TL,6.21,2100,50,2,11932,"HP W2033A (415A): M455, MFP M454, MFP M479, MFP M480; CANON CRG055 M: LBP662, LBP663, LBP664, MF741, MF742, MF743, MF744, MF745, MF746"
HP W2032X (415X) & CANON CRG-055HY Yellow Chipsiz (6K),9.01 USD 363.07 TL,9.01,6000,30,1,11937,"HP W2032X (415X): M455, MFP M454, MFP M479, MFP M480; CANON CRG055H Y: LBP662, LBP663, LBP664, MF741, MF742, MF743, MF744, MF745, MF746; CANON T09Y: i-SENSYS X-C1127"
HP W2032A (415A) & CANON CRG-055Y Yellow Chipsiz (2.1K),6.21 USD 250.24 TL,6.21,2100,50,2,11933,"HP W2032A (415A): M455, MFP M454, MFP M479, MFP M480; CANON CRG055 Y: LBP662, LBP663, LBP664, MF741, MF742, MF743, MF744, MF745, MF746"
HP W2031X (415X) & CANON CRG-055HC Cyan Chipsiz (6K),9.01 USD 363.07 TL,9.01,6000,20,1,11935,"HP W2031X (415X): M455, MFP M454, MFP M479, MFP M480; CANON CRG055H C: LBP662, LBP663, LBP664, MF741, MF742, MF743, MF744, MF745, MF746; CANON T09C: i-SENSYS X-C1127"
HP W2031A (415A) & CANON CRG-055C Cyan Chipsiz (2.1K),6.21 USD 250.24 TL,6.21,2100,50,2,11931,"HP W2031A (415A): M455, MFP M454, MFP M479, MFP M480; CANON CRG055 BK: LBP662, LBP663, LBP664, MF741, MF742, MF743, MF744, MF745, MF746"
HP W2030X (415X) & CANON CRG-055HBK Black Chipsiz (7.5K),9.01 USD 363.07 TL,9.01,7500,50,1,11934,"HP W2030X (415X): M455, MFP M454, MFP M479, MFP M480; CANON CRG055H BK: LBP662, LBP663, LBP664, MF741, MF742, MF743, MF744, MF745, MF746; CANON T09BK: i-SENSYS X-C1127"
HP W2030A (415A) & CANON CRG-055BK Black Chipsiz (2.4K),6.21 USD 250.24 TL,6.21,2400,100,3,11930,"HP W2030A (415A): M455, MFP M454, MFP M479, MFP M480; CANON CRG055 BK: LBP662, LBP663, LBP664, MF741, MF742, MF743, MF744, MF745, MF746"
HP Q7581A (503A) & CANON CRG-711C Cyan Remanufactured (6K),23.25 USD 936.90 TL,23.25,6000,2,0,15023,"HP Q7581A (503A): 3800, CP3505; CANON CRG711: LBP5300, LBP5360, LBP5400, MF8450, MF9130, MF9150, MF9170, MF9220, MF9280"
HP Q6511X (11X) & CANON CRG-710H (12K),12.22 USD 492.42 TL,12.22,12000,7,1,15043,"HP Q6511X (11X): 2410, 2420, 2430; CANON CRG710: LBP3460"
