urun_adi,Fiyat_str,gelis_fiyat_usd,baski_kapasitesi,stok,kendi_depomuz,stok_kodu,yazici_uyumluluk_listesi
PANTUM CTL-2200HM Magenta (3.5K),"78.67 USD 3,170.13 TL",78.67,3500,5,0,17156,"PANTUM CTL2000HM: CM2200, CP2200"
PANTUM CTL-2200HC Cyan (3.5K),"78.67 USD 3,170.13 TL",78.67,3500,5,0,17155,"PANTUM CTL2000HC: CM2200, CP2200"
PANTUM CTL-2200HBK Black (3.5K),"78.67 USD 3,170.13 TL",78.67,3500,5,0,17154,"PANTUM CTL2000HBK: CM2200, CP2200"
PANTUM CTL-2200C Cyan (1.5K),"65.33 USD 2,632.58 TL",65.33,1500,5,0,17151,"PANTUM CTL2000C: CM2200, CP2200"
PANTUM CTL-2200BK Black (1.5K),"65.33 USD 2,632.58 TL",65.33,1500,5,0,17150,"PANTUM CTL2200BK: CM2200, CP2000"
PANTUM DL-410 Drum Unit (12K),5.29 USD 213.17 TL,5.29,12000,100,0,16326,"PANTUM DL410: M6700, M6800, M6802, M7100, M7200, M7300, P3010, P3300"
XBox XEROX WC PE220 (013R00621) (3K),5.99 USD 241.56 TL,5.99,3000,40,2,12856,XEROX 013R00621: WorkCentre PE220
"XBox XEROX WC 3315,3325 (106R02310) (5K)",7.25 USD 292.09 TL,7.25,5000,100,7,11475,"XEROX 106R02310: WorkCentre 3315, WorkCentre 3325"
"XBox XEROX WC 3210,3220 (106R01487) Yüksek Kapasite (4.1K)",8.15 USD 328.46 TL,8.15,4100,10,0,12857,"XEROX 106R01487: WorkCentre 3210, WorkCentre 3220"
XBox XEROX PHASER 3330 Drum Unit (106R00555) (30K),4.73 USD 190.64 TL,4.73,30000,50,2,17000,"XEROX 106R00555: PHASER 3330, WORKCENTRE 3335, WORKCENTRE 3345"
XBox XEROX PHASER 3330 (106R03623) Yüksek Kapasite (15K),7.25 USD 292.09 TL,7.25,15000,30,2,12832,"XEROX 106R03623: Phaser 3330, WorkCentre 3335, WorkCentre 3345"
XBox XEROX PHASER 3330 (106R03621) (8.5K),6.36 USD 256.11 TL,6.36,8500,50,10,12830,"XEROX 106R03621: Phaser 3330, WorkCentre 3335, WorkCentre 3345"
XBox XEROX PHASER 3140 (108R00909) Yüksek Kapasite (2.5K),5.15 USD 207.49 TL,5.15,2500,100,0,11382,"XEROX 108R00909: Phaser 3140, Phaser 3155, Phaser 3160"
XBox XEROX PHASER 3052 (106R02778) (3K),3.80 USD 153.13 TL,3.80,3000,100,10,11343,"XEROX 106R02778: Phaser 3052, Phaser 3260, WorkCentre 3215, WorkCentre 3225"
XBox XEROX PHASER 3052 (101R00474) Drum Unit (10K),3.75 USD 151.21 TL,3.75,10000,100,5,14960,"XEROX 101R00474: Phaser 3052, Phaser 3260, WorkCentre 3215, WorkCentre 3225"
XBox XEROX PHASER 3020 (106R02773) (1.5K),3.95 USD 159.25 TL,3.95,1500,100,100,15088,"XEROX 106R02773: Phaser 3020, WorkCentre 3025, NL-5928 RC VENLO"
XBox XEROX PHASER 3010 (106R02182) Yüksek Kapasite (2.3K),1.49 USD 60.10 TL,1.49,2300,50,2,12849,"XEROX 106R02182: Phaser 3010, Phaser 3040, WorkCentre3045"
"XBox XEROX B205, B210, B215 (106R04348) Chipsiz (3K)",3.75 USD 151.21 TL,3.75,3000,100,10,14935,"XEROX 106R04348: B205, B210, B215"
"XBox XEROX B205, B210, B215 (106R04348) (3K)",5.50 USD 221.65 TL,5.50,3000,100,10,16337,"XEROX 106R04348: B205, B210, B215"
XBox SAMSUNG XPRESS SL-C430 Yellow (CLT-Y404S) (1K),5.75 USD 231.60 TL,5.75,1000,10,1,17141,"SAMSUNG CLT-Y404S: SL-C430, SL-C480"
XBox SAMSUNG XPRESS SL-C430 Magenta (CLT-M404S) (1K),5.75 USD 231.60 TL,5.75,1000,10,1,17140,"SAMSUNG CLT-M404S: SL-C430, SL-C480"
Xbox SAMSUNG XPRESS SL-C430 Cyan (CLT-C404S) (1K),5.75 USD 231.60 TL,5.75,1000,10,1,17139,"SAMSUNG CLT-C404S: SL-C430, SL-C480"
XBox SAMSUNG XPRESS SL-C430 Black (CLT-K404S) (1.5K),5.75 USD 231.60 TL,5.75,1500,30,1,17138,"SAMSUNG CLT-K404S: SL-C430, SL-C480"
XBox SAMSUNG MLT-R204 Drum Unit (30K),4.65 USD 187.20 TL,4.65,30000,100,2,11865,"SAMSUNG MLT-R204: M3325, M3375, M3825, M3875, M4025, M4075"
XBox SAMSUNG MLT-R116 Drum Unit (9K),3.65 USD 147.00 TL,3.65,9000,100,8,11867,"SAMSUNG MLT-R116: M2625, M2675, M2676, M2825, M2826, M2835, M2875, M2876, M2885; XEROX 106R04347: B205, B210, B215"
XBox SAMSUNG MLT-D209L Yüksek Kapasite (5K),6.79 USD 273.71 TL,6.79,5000,40,0,17357,"SAMSUNG MLT-D209L: ML2855, SCX4824, SCX4825, SCX4826, SCX4828"
XBox SAMSUNG MLT-D205L (5K),7.29 USD 293.62 TL,7.29,5000,100,6,11465,"SAMSUNG MLT-D205L: ML3310, ML3312, ML3710, ML3712, SCX4833, SCX4835, SCX5637, SCX5639, SCX5737, SCX5739"
XBox SAMSUNG MLT-D205E Yüksek Kapasite (10K),7.99 USD 321.95 TL,7.99,10000,100,2,11527,"SAMSUNG MLT-D205E: ML3710, ML3712, SCX5637, SCX5639, SCX5737, SCX5739"
XBox SAMSUNG MLT-D204U Extra Yüksek Kapasite (15K),6.95 USD 280.22 TL,6.95,15000,100,10,11436,"SAMSUNG MLT-D204U: M4025, M4075"
XBox SAMSUNG MLT-D204S (3K),5.87 USD 236.58 TL,5.87,3000,50,1,11426,"SAMSUNG MLT-D204S: M3325, M3375, M3825, M3875, M4025, M4075"
XBox SAMSUNG MLT-D204L (5K),5.97 USD 240.41 TL,5.97,5000,100,1,11900,"SAMSUNG MLTD204L: M3325, M3375, M3825, M3875, M4025, M4075"
XBox SAMSUNG MLT-D204E Yüksek Kapasite (10K),6.59 USD 265.68 TL,6.59,10000,0,1,11238,"SAMSUNG MLT-D204E: M3825, M3875, M4025, M4075"
XBox SAMSUNG MLT-D203U Yüksek Kapasite (15K),8.89 USD 358.32 TL,8.89,15000,10,9,11424,"SAMSUNG MLT-D203U: M4020, M4070, M4072"
XBox SAMSUNG MLT-D203L (5K),6.79 USD 273.71 TL,6.79,5000,100,6,11415,"SAMSUNG MLT-D203L: M3320, M3370, M3820, M3870, M4020, M4070, M4072"
XBox SAMSUNG MLT-D203E (10K),8.60 USD 346.45 TL,8.60,10000,100,1,12588,"SAMSUNG MLT-D203E: M3820, M3870, M4020, M4070, M4072"
XBox SAMSUNG MLT-D116S (1.2K),3.46 USD 139.35 TL,3.46,1200,100,2,11409,"SAMSUNG MLT-D116S: M2625, M2675, M2676, M2825, M2826, M2835, M2875, M2876, M2885"
XBox SAMSUNG MLT-D116L Yüksek Kapasite (3K),3.79 USD 152.74 TL,3.79,3000,100,0,11408,"SAMSUNG MLT-D116L: M2625, M2675, M2676, M2825, M2826, M2835, M2875, M2876, M2885"
XBox SAMSUNG MLT-D115L Yüksek Kapasite (3K),6.99 USD 281.75 TL,6.99,3000,100,5,12686,"SAMSUNG MLT-D115L: M2620, M2670, M2820, M2830, M2870, M2880"
XBox SAMSUNG MLT-D111S (1K),3.85 USD 155.04 TL,3.85,1000,100,100,12703,"SAMSUNG MLT-D111S: M2020, M2021, M2022, M2026, M2070, M2071"
XBox SAMSUNG MLT-D111L Yüksek Kapasite (1.8K),4.55 USD 183.37 TL,4.55,1800,100,50,12989,"SAMSUNG MLT-D111L: M2020, M2021, M2022, M2026, M2070, M2071"
XBox SAMSUNG MLT-D109S (2K),6.25 USD 251.89 TL,6.25,2000,100,3,12854,"SAMSUNG MLT-D109S: ML2440, SCX4300"
XBox SAMSUNG MLT-D108S (1.5K),5.50 USD 221.65 TL,5.50,1500,100,6,15219,"SAMSUNG MLT-D108S: ML1640, ML2240"
XBox SAMSUNG MLT-D105S (1.5K),4.98 USD 200.60 TL,4.98,1500,100,20,11381,"SAMSUNG MLT-D105S: ML1910, ML1915, ML2525, ML2540, ML2545, ML2580, SCX4600, SCX4623, SF650"
XBox SAMSUNG MLT-D105L Yüksek Kapasite (2.5K),5.35 USD 215.53 TL,5.35,2500,100,30,15282,"SAMSUNG MLT-D105L: ML1910, ML1915, ML2525, ML2540, ML2545, ML2580, SCX4600, SCX4623, SF650"
XBox SAMSUNG MLT-D104S (1.5K),4.15 USD 167.29 TL,4.15,1500,100,40,15281,"SAMSUNG MLT-D104S: ML1660, ML1661, ML1665, ML1666, ML1667, ML1670, ML1675, ML1860, ML1861, ML1864, ML1865, SCX3200, SCX3201, SCX3205, SCX3206, SCX3210, SCX3217, SCX3218"
XBox SAMSUNG MLT-D103L Yüksek Kapasite (2.5K),5.97 USD 240.41 TL,5.97,2500,100,10,15220,"SAMSUNG MLT-D103L: ML2950, ML2951, ML2955, SCX4701, SCX4705, SCX4726, SCX4727, SCX4728, SCX4729"
"XBox SAMSUNG MLT-D101S,D111L Chipsiz (1.5K)",3.65 USD 147.00 TL,3.65,1500,100,10,11394,"SAMSUNG MLT-D101S: ML2160, ML2165, SCX3400, SCX3405, SF760P; SAMSUNG MLT-D111L: M2020, M2021, M2022, M2026, M2070, M2071"
XBox SAMSUNG MLT-D101S (1.5K),3.96 USD 159.63 TL,3.96,1500,100,50,11396,"SAMSUNG MLT-D101S: ML2160, ML2165, SCX3400, SCX3405, SF760P"
XBox SAMSUNG ML-D3470A (4K),7.49 USD 301.66 TL,7.49,4000,100,0,14931,"SAMSUNG ML-3470A: ML3470, ML3471"
XBox SAMSUNG ML-D2850B Yüksek Kapasite (5K),7.95 USD 320.42 TL,7.95,5000,50,0,17098,"SAMSUNG ML-D2850B: ML2450, ML2850, ML2851"
XBox SAMSUNG CLP-365 Yellow (CLT-Y406S) (1K),4.95 USD 199.45 TL,4.95,1000,50,2,12822,"SAMSUNG CLT-Y406S: CLP360, CLP365, CLP368, CLX3300, CLX3305, C410, C460"
XBox SAMSUNG CLP-365 Magenta (CLT-M406S) (1K),4.95 USD 199.45 TL,4.95,1000,100,2,12821,"SAMSUNG CLT-M406S: CLP360, CLP365, CLP368, CLX3300, CLX3305, C410, C460"
XBox SAMSUNG CLP-365 Cyan (CLT-C406S) (1K),4.95 USD 199.45 TL,4.95,1000,100,2,12820,"SAMSUNG CLT-C406S: CLP360, CLP365, CLP368, CLX3300, CLX3305, C410, C460"
XBox SAMSUNG CLP-365 Black (CLT-K406S) (1.5K),4.95 USD 199.45 TL,4.95,1500,100,0,12819,"SAMSUNG CLT-K406S: CLP360, CLP365, CLP368, CLX3300, CLX3305, C410, C460"
XBox PANTUM TL-5120X (15K),6.25 USD 251.89 TL,6.25,15000,100,0,16840,"PANTUM TL5120X: BP5100, BM5100"
XBox PANTUM TL-5120H (6K),4.75 USD 191.41 TL,4.75,6000,0,0,16839,"PANTUM TL5120H: BP5100, BM5100"
XBox PANTUM TL-425X (6K),4.03 USD 162.31 TL,4.03,6000,100,1,16837,"PANTUM TL425X: M7105, P3305"
XBox PANTUM TL-425U (11K),5.59 USD 225.10 TL,5.59,11000,100,0,16882,"PANTUM TL425U: M7105, P3305"
XBox PANTUM TL-410X (6K),3.96 USD 159.63 TL,3.96,6000,100,1,16836,"PANTUM TL410X: P3010, P3300, M6700, M6800, M6802, M7100, M7200, M7300, M7310"
XBox PANTUM TL-410H (3K),3.80 USD 153.13 TL,3.80,3000,100,0,16887,"PANTUM TL410H: P3010, P3300, M6700, M6800, M6802, M7100, M7200, M7300, M7310"
XBox PANTUM PA-210 (1.6K),4.79 USD 192.94 TL,4.79,1600,100,8,16689,"PANTUM PA-210: M6500, M6550, M6600, P2200, P2500"
XBox PANTUM DL-5120 Drum Unit (30K),5.19 USD 209.02 TL,5.19,30000,0,0,16835,"PANTUM DL5120: BP5100, BM5100"
XBox PANTUM DL-425X Drum Unit (25K),5.23 USD 210.55 TL,5.23,25000,50,0,17184,"PANTUM DL425X: M7105, P3305"
XBox PANTUM DL-410 Drum Unit (12K),4.25 USD 171.12 TL,4.25,12000,0,0,17183,"PANTUM DL410: M6700, M6800, M6802, M7100, M7200, M7300, P3010, P3300"
XBox OKI C332 & MC363 Yellow (46508733) (3K),3.88 USD 156.19 TL,3.88,3000,20,1,16860,"OKI 46508733: C332, MC363"
XBox OKI C332 & MC363 Magenta (46508734) (3K),3.88 USD 156.19 TL,3.88,3000,20,1,16859,"OKI 46508734: C332, MC363"
XBox OKI C332 & MC363 Cyan (46508735) (3K),3.88 USD 156.19 TL,3.88,3000,20,1,16858,"OKI 46508735: C332, MC363"
XBox OKI C332 & MC363 Black (46508736) (3.5K),4.65 USD 187.20 TL,4.65,3500,30,0,16857,"OKI 46508736: C332, MC363"
XBox OKI C310 Yellow (44469714) (2K),3.25 USD 130.92 TL,3.25,2000,50,1,11899,"OKI 44469714: C310, C330, C331, C510, C511, C530, C531, MC351, MC352, MC361, MC362, MC561, MC562"
XBox OKI C310 Magenta (44469715) (2K),3.25 USD 130.92 TL,3.25,2000,50,1,11898,"OKI 44469715: C310, C330, C331, C510, C511, C530, C531, MC351, MC352, MC361, MC362, MC561, MC562"
XBox OKI C310 Cyan (44469716) (2K),3.25 USD 130.92 TL,3.25,2000,50,1,11897,"OKI 44469716: C310, C330, C331, C510, C511, C530, C531, MC351, MC352, MC361, MC362, MC561, MC562"
XBox OKI C310 Black (44469809) (3.5K),4.70 USD 189.49 TL,4.70,3500,20,1,11896,"OKI 44469809: C310, C330, C331, C510, C511, C530, C531, MC351, MC352, MC361, MC362, MC561, MC562"
XBox OKI C301 Yellow (44973541) (1.5K),3.25 USD 130.92 TL,3.25,1500,50,2,11819,"OKI 44973541: C301, C321, MC332, MC342"
XBox OKI C301 Magenta (44973542) (1.5K),3.25 USD 130.92 TL,3.25,1500,50,2,11818,"OKI 44973542: C301, C321, MC332, MC342"
XBox OKI C301 Cyan (44973543) (1.5K),3.25 USD 130.92 TL,3.25,1500,50,2,11817,"OKI 44973543: C301, C321, MC332, MC342"
XBox OKI C301 Black (44973544) (2.2K),4.00 USD 161.17 TL,4.00,2200,10,1,11816,"OKI 44973544: C301, C321, MC332, MC342"
XBox OKI B721 (45488802) (18K),"60.00 USD 2,417.88 TL",60.00,18000,10,0,16998,"OKI 45488802: B721, B731, MB731, MB760, MB770"
XBox OKI B431 (44917608) Extra Yüksek Kapasite (12K),5.11 USD 205.96 TL,5.11,12000,100,0,17131,"OKI 44917608: B431, MB461, MB471, MB491"
XBox OKI B431 (44574805) Yüksek Kapasite (7K),3.85 USD 155.04 TL,3.85,7000,100,0,17130,"OKI 44574805: B431, MB461, MB471, MB491"
XBox OKI B431 (44574705) (3K),3.70 USD 148.92 TL,3.70,3000,100,1,11740,"OKI 44574705: B411, B431, MB461, MB471, MB491"
XBox OKI B412 (45807121) Extra Yüksek Kapasite (12K),5.00 USD 201.36 TL,5.00,12000,100,8,17132,"OKI 45807121: B412, B432, B512, MB472, MB492, MB562"
XBox OKI B412 (45807120) Yüksek Kapasite (7K),3.30 USD 132.84 TL,3.30,7000,100,20,11895,"OKI 45807120: B412, B432, B512, MB472, MB492, MB562"
XBox OKI B412 (45807119) (3K),2.80 USD 112.93 TL,2.80,3000,100,0,17128,"OKI 45807119: B412, B432, B512, MB472, MB492, MB562"
XBox OKI B401&B411 Drum Unit (44574307&44574302) (25K),13.90 USD 560.06 TL,13.90,25000,100,6,12575,"OKI 44574307: B401, MB441, MB451; OKI 44574302: B411, B412, B431, B432, B512, MB461, MB471, MB472, MB491, MB492, MB562"
XBox OKI B401 (44992404) Yüksek Kapasite (2.5K),2.50 USD 100.68 TL,2.50,2500,100,30,11675,"OKI 44992404: B401, MB441, MB451"
XBox LEXMARK X264 (X264H11G) Yüksek Kapasite (9K),9.00 USD 362.53 TL,9.00,9000,50,1,15247,"LEXMARK X264H11G, X264H21G: X264, X363, X364"
XBox LEXMARK T650 (X651H11E&T650H11E) (25K),"27.38 USD 1,103.28 TL",27.38,25000,100,3,11328,"LEXMARK T650H11E, T650H21E: T650, T652, T654, T656; LEXMARK X651H11E, X651H21E: X651, X652, X654, X656, X658"
XBox LEXMARK MS710 (520Z) (52D0Z00) Drum Unit (100K),22.55 USD 908.81 TL,22.55,100000,0,0,16778,"LEXMARK 52D0Z00, 520Z: MS710, MS711, MS810, MS811, MS812, MS817, MS818, MX710, MX711, MX717, MX718, MX810, MX811, MX812"
"XBox LEXMARK MS417 (51B5H00) (8,5K)",7.45 USD 300.13 TL,7.45,8500,100,2,11240,"LEXMARK 51B5H00, 515H: MS317, MS417, MS517, MS617, MX417, MX517, MX617"
"XBox LEXMARK MS317 (51B5000) (2,5K)",5.15 USD 207.49 TL,5.15,2500,100,0,11239,"LEXMARK 51B5000, 515: MS317, MS417, MS517, MS617, MX317, MX417, MX517, MX617"
XBox LEXMARK MS310 (50F0Z00) Drum Unit (60K),16.50 USD 664.95 TL,16.50,60000,100,0,16376,"LEXMARK 50F0Z00, 500Z: MS310, MS312, MS315, MS317, MS410, MS415, MS417, MS510, MS517, MS610, MS617, MX310, MX317, MX410, MX417, MX510, MX511, MX517, MX611, MX617"
XBox LEXMARK MS310 (505H) (5K),6.75 USD 272.18 TL,6.75,5000,100,2,15297,"LEXMARK 50F5H00, 505H: MS310, MS312, MS315, MS410, MS415, MS510, MS610"
Xbox LEXMARK MS/MX 811 (525X&625X) (45K),18.70 USD 753.39 TL,18.70,45000,100,0,17087,"LEXMARK 52D5X00, 525X: MS811, MS812; LEXMARK 62D5X00, 625X: MX711, MX810, MX811, MX812"
XBox LEXMARK MS/MX 710 (525H&625H) (25K),12.40 USD 499.58 TL,12.40,25000,100,2,11637,"LEXMARK 52D5H00, 525H: MS710, MS711, MS810, MS811, MS812; LEXMARK 62D5H00, 625H: MX710, MX711, MX810, MX811, MX812"
XBox LEXMARK MS/MX 510 (505U&605X) (20K),7.95 USD 320.42 TL,7.95,20000,100,0,11616,"LEXMARK 50F5U00, 505U: MS510, MS610; LEXMARK 60F5X00, 605X: MX510, MX511, MX610, MX611"
XBox LEXMARK MS/MX 410 MX310 (505X605H) (10K),7.50 USD 302.04 TL,7.50,10000,100,6,11326,"LEXMARK 50F5X00, 505X: MS410, MS415, MS510, MS610; LEXMARK 60F5H00, 605H: MX310, MX410, MX510, MX511, MX610, MX611"
XBox LEXMARK E260 (E260X22G) Drum Unit (30K),7.95 USD 320.42 TL,7.95,30000,100,6,12831,"LEXMARK E260X22G: E260, E360, E460, E462, X264, X363, X364, X463, X464, X466"
XBox LEXMARK E260 (E260A11E) (3.5K),8.50 USD 342.62 TL,8.50,3500,100,5,15199,"LEXMARK E260A11E, E260A21E: E260, E360, E460, E462"
XBox HP W2073A (117A) Magenta Chipsiz (0.7K),4.05 USD 163.08 TL,4.05,700,50,2,14930,"HP W2073A (117A): 150, MFP178, MFP179"
XBox HP W2073A (117A) Magenta (0.7K),4.25 USD 171.12 TL,4.25,700,100,20,14956,"HP W2073A (117A): 150, MFP178, MFP179"
XBox HP W2072A (117A) Yellow Chipsiz (0.7K),4.05 USD 163.08 TL,4.05,700,20,2,14929,"HP W2072A (117A): 150, MFP178, MFP179"
XBox HP W2072A (117A) Yellow (0.7K),4.25 USD 171.12 TL,4.25,700,100,20,14955,"HP W2072A (117A): 150, MFP178, MFP179"
XBox HP W2071A (117A) Cyan Chipsiz (0.7K),4.05 USD 163.08 TL,4.05,700,50,1,14928,"HP W2071A (117A): 150, MFP178, MFP179"
XBox HP W2071A (117A) Cyan (0.7K),4.25 USD 171.12 TL,4.25,700,100,10,14954,"HP W2071A (117A): 150, MFP178, MFP179"
XBox HP W2070A (117A) Black Chipsiz (1K),4.05 USD 163.08 TL,4.05,1000,100,0,14927,"HP W2070A (117A): 150, MFP178, MFP179"
XBox HP W2070A (117A) Black (1K),4.15 USD 167.29 TL,4.15,1000,0,0,14953,"HP W2070A (117A): 150, MFP178, MFP179"
XBox HP W2033X (415X) Magenta (6K),14.25 USD 574.23 TL,14.25,6000,4,0,17137,"HP W2033X (415X): M455, MFP M454, MFP M479, MFP M480"
XBox HP W2033A (415A) Magenta (2.1k),7.45 USD 300.13 TL,7.45,2100,2,3,16766,"HP W2033A (415A): M455, MFP M454, MFP M479, MFP M480"
XBox HP W2032X (415X) Yellow (6K),14.25 USD 574.23 TL,14.25,6000,6,0,17136,"HP W2032X (415X): M455, MFP M454, MFP M479, MFP M480"
XBox HP W2032A (415A) Yellow (2.1k),7.45 USD 300.13 TL,7.45,2100,0,0,16765,"HP W2032A (415A): M455, MFP M454, MFP M479, MFP M480"
XBox HP W2031X (415X) Cyan (6K),14.25 USD 574.23 TL,14.25,6000,5,0,17135,"HP W2031X (415X): M455, MFP M454, MFP M479, MFP M480"
XBox HP W2031A (415A) Cyan (2.1K),7.45 USD 300.13 TL,7.45,2100,5,2,16764,"HP W2031A (415A): M455, MFP M454, MFP M479, MFP M480"
XBox HP W2030X (415X) Black (7.5K),14.25 USD 574.23 TL,14.25,7500,40,0,17134,"HP W2030X (415X): M455, MFP M454, MFP M479, MFP M480"
XBox HP W2030A (415A) Black (2.4K),7.45 USD 300.13 TL,7.45,2400,5,0,16763,"HP W2030A (415A): M455, MFP M454, MFP M479, MFP M480"
XBox HP W1540X (154X) Toner Reload Kit (5K),2.50 USD 100.68 TL,2.50,5000,50,0,16936,"HP W1540X (154X): LaserJet Tank 1502,1602 MFP,2502,2602 MFP"
XBox HP W1540A (154A) Toner Reload Kit (2.5K),2.29 USD 92.26 TL,2.29,2500,100,5,16861,"HP W1540A (154A): LaserJet Tank 1502, 1602, 1604, 2502, MFP1602, MFP1604, MFP2602, MFP2603, MFP2604, MFP2605"
XBox HP W1510X (151X) (9.7K),12.90 USD 519.87 TL,12.90,9700,10,2,16864,"HP W1510X (151X): LaserJet Pro 4003, MFP4103"
XBox HP W1510A (151A) Chipsiz (3.05K),5.25 USD 211.70 TL,5.25,3050,100,10,16862,"HP W1510A (151A): LaserJet Pro 4003, MFP4103"
XBox HP W1510A (151A) (3.05K),9.50 USD 382.82 TL,9.50,3050,100,2,16863,"HP W1510A (151A): LaserJet Pro 4003, MFP 4103"
XBox HP W1500A (150A) Chipsiz (1K),4.03 USD 162.31 TL,4.03,1000,100,6,16937,"HP W1500A (150A): LaserJet M109, M111, M112, M141, MFP M141"
XBox HP W1500A (150A) (1K),6.99 USD 281.75 TL,6.99,1000,100,10,16938,"HP W1500A (150A): LaserJet M109, M111, M112, M141, MFP M141"
XBox HP W1360A (136A) (1.15K),7.95 USD 320.42 TL,7.95,1150,0,0,17091,"HP W1360A (136A): M211, MFP M236"
XBox HP W1332A (332A) Drum Unit (30K),5.99 USD 241.56 TL,5.99,30000,0,0,17133,"HP W1332A (332A): M408, MFP432"
XBox HP W1331X (331X) (15K),7.44 USD 299.75 TL,7.44,15000,100,3,16830,"HP W1331X (331X): M408, MFP432"
XBox HP W1331A (331A) (5K),7.25 USD 292.09 TL,7.25,5000,100,0,16829,"HP W1331A (331A): M408, MFP432"
XBox HP W1106XL (106XL) Chipsiz Ekstra Yüksek Kapasite (5K),4.86 USD 196.00 TL,4.86,5000,100,9,12825,"HP W1106XL (106XL): 107, MFP135, MFP137, MFP138"
XBox HP W1106XL (106XL) (5K),5.27 USD 212.46 TL,5.27,5000,100,10,14752,"HP W1106XL (106XL): 107, MFP135, MFP137, MFP138"
"XBox HP W1106X (106X) Chipsiz Yüksek Kapasite (2,5K)",4.07 USD 163.85 TL,4.07,2500,100,10,12780,"HP W1106X (106X): 107, MFP135, MFP137, MFP138"
XBox HP W1106X (106X) (2.5K),4.12 USD 166.14 TL,4.12,2500,100,0,16841,"HP W1106X (106X): 107, MFP135, MFP137, MFP138"
XBox HP W1106A (106A) Chipsiz (1K),3.80 USD 153.13 TL,3.80,1000,100,100,11901,"HP W1106A (106A): 107, MFP135, MFP137, MFP138"
XBox HP W1106A (106A) (1K),3.95 USD 159.25 TL,3.95,1000,100,100,11777,"HP W1106A (106A): 107, MFP135, MFP137, MFP138"
XBox HP W1103A (103A) (2.5K),1.99 USD 80.01 TL,1.99,2500,100,10,12829,"HP W1103A (103A): Neverstop Laser 1000, MFP1200"
XBox HP CF259X (10K),9.95 USD 400.81 TL,9.95,10000,100,2,14755,"HP CF259X (59X): M304, M305, M404, M405, M406, M407, M430, MFP M329, MFP M428, MFP M429"
XBox HP CF259A (3K),7.25 USD 292.09 TL,7.25,3000,100,10,14754,"HP CF259A (59A): M304, M305, M404, M405, M406, M407, M430, MFP M329, MFP M428, MFP M429"
"XBox HP CF234A Drum Unit (9,2K)",7.20 USD 290.18 TL,7.20,9200,100,1,12803,"HP CF234A (34A): M106, M134"
XBox HP CF233A (33A) (2.3K),2.25 USD 90.73 TL,2.25,2300,100,7,15124,"HP CF233A (33A): M106, M134"
XBox HP CE743A Magenta (7.3K),"33.75 USD 1,360.15 TL",33.75,7300,100,1,16853,"HP CE743A (307A): CP5220, CP5225"
XBox HP CE742A Yellow (7.3K),"33.75 USD 1,360.15 TL",33.75,7300,100,1,16852,"HP CE742A (307A): CP5220, CP5225"
XBox HP CE741A Cyan (7.3K),"33.75 USD 1,360.15 TL",33.75,7300,100,1,16851,"HP CE741A (307A): CP5220, CP5225"
XBox HP CE740A Black (7K),"33.75 USD 1,360.15 TL",33.75,7000,100,1,16850,"HP CE740A (307A): CP5220, CP5225"
XBox HP CE314A Drum Unit (14K),4.19 USD 168.82 TL,4.19,14000,100,5,12573,"HP CE314A (126A): CP1025, M175, M176, M177, M275"
"XBox HP CC364A,CE390A (10K)",9.49 USD 382.43 TL,9.49,10000,10,9,11228,"HP CC364A (64A): P4014, P4015, P4515; HP CE390A (90A): M601, M602, M603, M4555"
XBox CANON CRG-071H Chipsiz (2.5K),4.30 USD 173.42 TL,4.30,2500,0,0,16717,"CANON CRG-071H: LBP122, MF272, MF275"
XBox CANON CRG-071H (2.5K),8.25 USD 332.29 TL,8.25,2500,30,4,16834,"CANON CRG071H: LBP122, MF272, MF275"
XBox CANON CRG-071 (1.2K),7.50 USD 302.04 TL,7.50,1200,50,4,16832,"CANON CRG071: LBP122, MF272, MF275"
XBox CANON CRG-070H Chipsiz (10K),6.35 USD 255.72 TL,6.35,10000,100,0,16324,"CANON CRG-070H: LBP243, LBP246, LBP247, MF461, MF462, MF463, MF465"
XBox CANON CRG-070H (10.2K),12.75 USD 513.74 TL,12.75,10200,0,0,16828,"CANON CRG070H: LBP243, LBP246, LBP247, MF461, MF462, MF463, MF465"
XBox CANON CRG-070 Chipsiz (3K),5.40 USD 217.44 TL,5.40,3000,100,20,16323,"CANON CRG-070: LBP243, LBP246, LBP247, MF461, MF462, MF463, MF465"
XBox CANON CRG-070 (3K),9.00 USD 362.53 TL,9.00,3000,100,0,16826,"CANON CRG070: LBP243, LBP246, LBP247, MF461, MF462, MF463, MF465"
XBox CANON CRG-069Y Yellow Chipsiz (1.9K),6.59 USD 265.68 TL,6.59,1900,0,0,17112,"CANON CRG069Y: LBP673, MF752, MF754"
XBox CANON CRG-069Y Yellow (1.9K),11.50 USD 463.59 TL,11.50,1900,6,2,17116,"CANON CRG069Y: LBP673, MF752, MF754"
XBox CANON CRG-069M Magenta Chipsiz (1.9K),6.59 USD 265.68 TL,6.59,1900,0,0,17111,"CANON CRG069M: LBP673, MF752, MF754"
XBox CANON CRG-069M Magenta (1.9K),11.50 USD 463.59 TL,11.50,1900,8,2,17115,"CANON CRG069M: LBP673, MF752, MF754"
XBox CANON CRG-069HY Yellow Chipsiz (5.5K),7.60 USD 306.25 TL,7.60,5500,10,1,17120,"CANON CRG069HY: LBP673, MF752, MF754"
