urun_adi,Fiyat_str,gelis_fiyati_usd,baski_kapasitesi,stok,kendi_depomuz,stok_kodu,yazici_uyumluluk_listesi
CANON CRG-056L (5k),15.83 USD 630.16 TL,15.83,5000,10,2,13158,"CANON CRG056L: LBP325, MF542, MF543, MF552, MF553"
CANON CRG-057 (3.1K),10.00 USD 398.08 TL,10.00,3100,100,1,14932,"CANON CRG-057: LBP223, LBP226, LBP228, LBP233, LBP236, LBP237, MF443, MF445, MF446, MF449, MF451, MF452, MF453, MF455"
CANON CRG-057H (10K),12.09 USD 481.28 TL,12.09,10000,30,4,14933,"CANON CRG-057H: LBP223, LBP226, LBP228, LBP233, LBP236, LBP237, MF443, MF445, MF446, MF449, MF451, MF452, MF453, MF455"
CANON CRG-064 Black (6K),"41.67 USD 1,658.80 TL",41.67,6000,0,0,16071,"CANON CRG064: LBP722, MF823"
CANON CRG-064 Cyan (5k),"41.67 USD 1,658.80 TL",41.67,5000,0,0,16072,"CANON CRG064: LBP722, MF823"
CANON CRG-064 Magenta (5k),"41.67 USD 1,658.80 TL",41.67,5000,1,0,16073,"CANON CRG064: LBP722, MF823"
CANON CRG-064 Yellow (5k),"41.67 USD 1,658.80 TL",41.67,5000,1,0,16074,"CANON CRG064: LBP722, MF823"
CANON CRG-064H Black (13.4k),"54.31 USD 2,161.98 TL",54.31,13400,3,0,16075,"CANON CRG064H: LBP722, MF823"
CANON CRG-064H Cyan (10.4k),"54.31 USD 2,161.98 TL",54.31,10400,5,0,16076,"CANON CRG064H: LBP722, MF823"
CANON CRG-064H Magenta (10.4k),"54.31 USD 2,161.98 TL",54.31,10400,5,0,16077,"CANON CRG064H: LBP722, MF823"
CANON CRG-064H Yellow (10.4k),"54.31 USD 2,161.98 TL",54.31,10400,5,0,16078,"CANON CRG064H: LBP722, MF823"
CANON CRG-069BK Black (2.1K),14.31 USD 569.65 TL,14.31,2100,100,5,14963,"CANON CRG069BK: LBP673, MF752, MF754"
CANON CRG-069BK Black Chipsiz (2.1K),8.20 USD 326.43 TL,8.20,2100,100,1,16288,"CANON CRG069BK: LBP673, MF752, MF754"
CANON CRG-069C Cyan (1.9K),14.31 USD 569.65 TL,14.31,1900,100,1,14964,"CANON CRG069C: LBP673, MF752, MF754"
CANON CRG-069C Cyan Chipsiz (1.9K),8.20 USD 326.43 TL,8.20,1900,50,1,16289,"CANON CRG069C: LBP673, MF752, MF754"
CANON CRG-069HBK Black (7.6K),18.04 USD 718.14 TL,18.04,7600,100,2,14967,"CANON CRG069HBK: LBP673, MF752, MF754"
CANON CRG-069HBK Black Chipsiz (7.6K),9.77 USD 388.93 TL,9.77,7600,100,2,16292,"CANON CRG069HBK: LBP673, MF752, MF754"
CANON CRG-069HC Cyan (7.6K),18.04 USD 718.14 TL,18.04,7600,100,0,14968,"CANON CRG069HC: LBP673, MF752, MF754"
CANON CRG-069HC Cyan Chipsiz (7.6K),9.46 USD 376.58 TL,9.46,7600,50,0,16293,"CANON CRG069HC: LBP673, MF752, MF754"
CANON CRG-069HM Magenta (7.6K),18.04 USD 718.14 TL,18.04,7600,100,0,14969,"CANON CRG069HM: LBP673, MF752, MF754"
CANON CRG-069HM Magenta Chipsiz (7.6K),9.46 USD 376.58 TL,9.46,7600,50,0,16294,"CANON CRG069HM: LBP673, MF752, MF754"
CANON CRG-069HY Yellow (7.6K),18.04 USD 718.14 TL,18.04,7600,100,0,14970,"CANON CRG069HY: LBP673, MF752, MF754"
CANON CRG-069HY Yellow Chipsiz (7.6K),9.46 USD 376.58 TL,9.46,7600,50,1,16295,"CANON CRG069HY: LBP673, MF752, MF754"
CANON CRG-069M Magenta (1.9K),14.31 USD 569.65 TL,14.31,1900,100,0,14965,"CANON CRG069M: LBP673, MF752, MF754"
CANON CRG-069M Magenta Chipsiz (1.9K),8.20 USD 326.43 TL,8.20,1900,50,1,16290,"CANON CRG069M: LBP673, MF752, MF754"
CANON CRG-069Y Yellow (1.9K),14.31 USD 569.65 TL,14.31,1900,100,1,14966,"CANON CRG069Y: LBP673, MF752, MF754"
CANON CRG-069Y Yellow Chipsiz (1.9K),8.20 USD 326.43 TL,8.20,1900,50,1,16291,"CANON CRG069Y: LBP673, MF752, MF754"
CANON CRG-070 (3K),11.20 USD 445.85 TL,11.20,3000,40,1,16825,"CANON CRG070: LBP243, LBP246, LBP247, MF461, MF462, MF463, MF465"
CANON CRG-070 Chipsiz (3k),6.72 USD 267.51 TL,6.72,3000,50,9,16268,"CANON CRG070: LBP243, LBP246, LBP247, MF461, MF462, MF463, MF465"
CANON CRG-070H (10.2K),15.87 USD 631.75 TL,15.87,10200,10,1,16827,"CANON CRG070H: LBP243, LBP246, LBP247, MF461, MF462, MF463, MF465"
CANON CRG-070H Chipsiz (10.2k),7.90 USD 314.48 TL,7.90,10200,100,20,16269,"CANON CRG070H: LBP243, LBP246, LBP247, MF461, MF462, MF463, MF465"
CANON CRG-071 (1.2K),9.33 USD 371.41 TL,9.33,1200,50,0,16831,"CANON CRG071: LBP122, MF272, MF275"
